code,description,category,subcategory,unit,rate,brand,keywords
35938_e5637ca2,Post Nylofor Marine Grade - steel green 1.8m * 60 * 60mm for 1.2m panel,Posts,Individual Pieces,Unit,19.07,,post; nylofor; marine; grade; steel; green; 1.8m; 60mm; for; 1.2m; panel; posts; individual pieces; 35938_e5637ca2
35939_e112dc47,Post Nylofor Marine Grade - steel green 2.4m * 60 * 60mm for 1.8m panel,Posts,Individual Pieces,Unit,27.49,,post; nylofor; marine; grade; steel; green; 2.4m; 60mm; for; 1.8m; panel; posts; individual pieces; 35939_e112dc47
35944_57baa609,Post Nylofor Marine Grade - steel green 1.8m * 60 * 60mm for 1.2m panel HDG,Posts,Individual Pieces,Unit,44.03,,post; nylofor; marine; grade; steel; green; 1.8m; 60mm; for; 1.2m; panel; hdg; posts; individual pieces; 35944_57baa609
35946_6b4dfa47,Bracket Index - 358 bracket black,Brackets,,Unit,0.29,,bracket; index; 358; black; brackets; 35946_6b4dfa47
35947_712d8f41,Bracket Index - 358 bracket green,Brackets,,Unit,0.13,,bracket; index; 358; green; brackets; 35947_712d8f41
35948_809700b1,Bracket Index - 358 bracket galv,Brackets,,Unit,,,bracket; index; 358; galv; brackets; 35948_809700b1
35950_7c02510f,Bolt security head Index - M8 * 35 self tapping fourtress,Bolts,,Unit,0.21,,bolt; security; head; index; self; tapping; fourtress; bolts; 35950_7c02510f
35951_a0449a98,Bolt security head Index - M8 * 35 self tapping powerdrive,Bolts,,Unit,0.21,,bolt; security; head; index; self; tapping; powerdrive; bolts; 35951_a0449a98
35955_f6083857,Repair Bracket - 3'' arris rail galv,Brackets,,Unit,0.58,,repair; bracket; 3''; arris; rail; galv; brackets; 35955_f6083857
35956_38cd0f35,Repair Bracket - 3'' arris rail brown,Brackets,,Unit,,,repair; bracket; 3''; arris; rail; brown; brackets; 35956_38cd0f35
35968_625ceea1,Accessories Sliding Gate - 100mm gooved wheels (2),Gates,Individual Pieces,Unit,40.24,,accessories; sliding; gate; 100mm; gooved; wheels; (2); gates; individual pieces; 35968_625ceea1
35969_036e551c,Accessories Sliding Gate - 60 * 40 nylon roller guides (2),Gates,,Unit,10.98,,accessories; sliding; gate; nylon; roller; guides; (2); gates; 35969_036e551c
35973_0ae36dca,Rail Cross Mode - HD - anthracite grey 2.4m bottom,General,,Unit,18.65,,rail; cross; mode; anthracite; grey; 2.4m; bottom; general; 35973_0ae36dca
