id,code,ref,description,category,subcategory,unit,rate,material_type,material_grade,material_size,material_finish,work_type,brand,labor_rate,material_rate,wastage_percentage,supplier,location,availability,remark,keywords,isActive
bc9a8901-eb20-4f03-9962-4f6c1b600bca,34118_63b2519d,__export__.product_product_34118_63b2519d,System Eclipse - kit green 2.4m * 3.0m,General,,Unit,71.753,,,kit green 2.4m * 3.0m,,,,,,,,,,kit green 2.4m * 3.0m,system; eclipse; kit; green; 2.4m; 3.0m; general; 34118_63b2519d,true
952d98b9-15d3-4e53-ba1e-38ed460a4475,34119_f13b23d4,__export__.product_product_34119_f13b23d4,System Eclipse - kit green 3.0m * 2.8m,General,,Unit,195.11,,,kit green 3.0m * 2.8m,,,,,,,,,,kit green 3.0m * 2.8m,system; eclipse; kit; green; 3.0m; 2.8m; general; 34119_f13b23d4,true
0f089dff-42ae-49fc-8922-f6cef729c04c,34120_996d1ba2,__export__.product_product_34120_996d1ba2,System Eclipse Marine Grade - kit black 1.2m * 3.0m,General,,Unit,53.91,,,kit black 1.2m * 3.0m,,,,,,,,,,kit black 1.2m * 3.0m,system; eclipse; marine; grade; kit; black; 1.2m; 3.0m; general; 34120_996d1ba2,true
f61b153f-80ec-42e8-ab0b-3951d7465c18,34121_5d39ad6f,__export__.product_product_34121_5d39ad6f,System Eclipse Marine Grade - kit black 1.8m * 3.0m,General,,Unit,96.32,,,kit black 1.8m * 3.0m,,,,,,,,,,kit black 1.8m * 3.0m,system; eclipse; marine; grade; kit; black; 1.8m; 3.0m; general; 34121_5d39ad6f,true
9330e043-c741-4e02-b8a2-29c5b5f55305,34122_787e2ec3,__export__.product_product_34122_787e2ec3,System Eclipse Marine Grade - kit black 2.4m * 3.0m,General,,Unit,126.9,,,kit black 2.4m * 3.0m,,,,,,,,,,kit black 2.4m * 3.0m,system; eclipse; marine; grade; kit; black; 2.4m; 3.0m; general; 34122_787e2ec3,true
5368a69e-9cd5-4038-915d-4b007d36ba69,34123_689367e1,__export__.product_product_34123_689367e1,System Eclipse Marine Grade - kit black 3.0m * 2.8m,General,,Unit,194.38,,,kit black 3.0m * 2.8m,,,,,,,,,,kit black 3.0m * 2.8m,system; eclipse; marine; grade; kit; black; 3.0m; 2.8m; general; 34123_689367e1,true
7d5cb078-1626-4f26-aacf-1f819fee2a05,34124_f3cad3cf,__export__.product_product_34124_f3cad3cf,System Eclipse Marine Grade - kit green 1.2m * 3.0m,General,,Unit,62.77,,,kit green 1.2m * 3.0m,,,,,,,,,,kit green 1.2m * 3.0m,system; eclipse; marine; grade; kit; green; 1.2m; 3.0m; general; 34124_f3cad3cf,true
675fa7df-11d9-4d0e-8bb6-b2a2f7e77445,34125_d936950b,__export__.product_product_34125_d936950b,System Eclipse Marine Grade - kit green 1.8m * 3.0m,General,,Unit,52.85,,,kit green 1.8m * 3.0m,,,,,,,,,,kit green 1.8m * 3.0m,system; eclipse; marine; grade; kit; green; 1.8m; 3.0m; general; 34125_d936950b,true
45028099-2b5d-44a8-b4d1-cb2d04348485,34126_9bcf549b,__export__.product_product_34126_9bcf549b,System Eclipse Marine Grade - kit green 2.4m * 3.0m,General,,Unit,126,,,kit green 2.4m * 3.0m,,,,,,,,,,kit green 2.4m * 3.0m,system; eclipse; marine; grade; kit; green; 2.4m; 3.0m; general; 34126_9bcf549b,true
808cc271-bb0b-4f63-88d0-26b44f0e37f4,34127_b364685c,__export__.product_product_34127_b364685c,System Eclipse Marine Grade - kit green 3.0m * 2.8m,General,,Unit,194.38,,,kit green 3.0m * 2.8m,,,,,,,,,,kit green 3.0m * 2.8m,system; eclipse; marine; grade; kit; green; 3.0m; 2.8m; general; 34127_b364685c,true
